nu,unc,A,S,"E""",g',"g""",J',"J""",Grve',v1',v2',v3',Ka',Kc',"Grve""","v1""","v2""","v3""","Ka""","Kc"""
6882.511212,4.6e-05,1.0721,9.538152636460191e-29,1743.486334,7,5,3,2, A2,0,3,1,2,1, A1,0,1,0,2,0
6882.840935,9.1e-05,6.4423e-05,6.136910696734854e-30,1255.166516,57,51,9,8, B1,1,0,1,1,9, B2,0,0,0,5,4
6883.389217,3e-05,0.14636,5.836860744282003e-29,1813.222656,63,69,10,11, B1,0,2,1,5,5, B2,0,0,0,3,8
6883.636363,5.1e-05,0.00074626,2.9121601658963378e-30,1474.980198,21,19,10,9, A1,0,2,1,3,8, A2,0,0,0,5,5
6883.71331,4.3e-05,0.153,2.835787345272631e-29,1899.007489,69,69,11,11, B2,0,2,1,4,8, B1,0,0,0,4,7
6884.041668,4.4e-05,0.25115,1.7139714002729044e-29,1998.994771,69,69,11,11, B1,1,0,1,3,9, B2,0,0,0,5,6
6884.412857,9.7e-05,0.02124,1.966430454888484e-28,1477.297167,51,57,8,9, B1,1,2,0,6,3, B2,0,0,0,5,4
6884.487284,5.3e-05,0.014336,1.4833627229592533e-28,1477.297167,57,57,9,9, B1,2,0,0,2,7, B2,0,0,0,5,4
6884.834938,4.8e-05,1.743,1.0859892819483322e-29,2246.883887,75,81,12,13, B2,0,2,1,4,8, B1,0,0,0,2,11
6884.972717,2.4e-05,0.00049799,2.0375703713745785e-26,610.341138,39,33,6,5, B2,0,2,1,2,4, B1,0,0,0,4,1
6885.000026,9.4e-05,0.036197,5.037156803223566e-30,1664.964579,5,5,2,2, A2,0,3,1,2,1, A1,0,1,0,0,2
6885.231975,3.8e-05,0.00046774,3.108166929046956e-30,1411.64175,19,17,9,8, A2,0,2,1,4,5, A1,0,0,0,6,2
6885.400467,7.7e-05,0.38536,1.694451924376836e-30,2254.283262,57,63,9,10, B2,0,0,2,7,2, B1,0,0,0,8,3
6885.792853,4e-05,0.0021386,9.61657848007844e-28,1045.057796,33,39,5,6, B2,0,0,2,3,2, B1,0,0,0,6,1
6885.913593,3.6e-05,0.47001,5.531727193987364e-22,212.156362,21,21,3,3, B2,0,2,1,2,2, B1,0,0,0,2,1
